name,team_abbr,team_name,pos,jersey_number,goals_2023,assists_2023,own_goals_2023,points_2023,epl_in_2023,id
Ben Johnson,IPS,Ipswich,DEF,18,0,0,0,0,true,sr:player:1372516
Jack Clarke,IPS,Ipswich,FWD,47,0,0,0,0,false,sr:player:1391359
Leif Davis,IPS,Ipswich,DEF,3,0,0,0,0,false,sr:player:1640266
Cieran Slicker,IPS,Ipswich,GK,13,0,0,0,0,false,sr:player:1724684
Jacob Greaves,IPS,Ipswich,DEF,24,0,0,0,0,false,sr:player:1836942
Liam Delap,IPS,Ipswich,FWD,19,0,0,0,0,true,sr:player:1886706
Harry Clarke,IPS,Ipswich,DEF,2,0,0,0,0,false,sr:player:2085475
Ali Al Hamadi,IPS,Ipswich,FWD,16,0,0,0,0,false,sr:player:2253611
Omari Hutchinson,IPS,Ipswich,MID,20,0,0,0,0,true,sr:player:2284735
Fraser Forster,TOT,Tottenham,GK,20,0,0,0,0,true,sr:player:19314
Guglielmo Vicario,TOT,Tottenham,GK,1,0,0,0,0,true,sr:player:553606
Alfie Whiteman,TOT,Tottenham,GK,41,0,0,0,0,true,sr:player:918722
Yves Bissouma,TOT,Tottenham,MID,8,0,0,0,0,true,sr:player:1010967
Brandon Austin,TOT,Tottenham,GK,40,0,0,0,0,true,sr:player:1058637
Djed Spence,TOT,Tottenham,DEF,24,0,0,0,0,true,sr:player:1564490
Radu Dragusin,TOT,Tottenham,DEF,6,0,0,0,0,true,sr:player:1642306
Archie Gray,TOT,Tottenham,MID,14,0,0,0,0,false,sr:player:2278985
Lucas Bergvall,TOT,Tottenham,MID,15,0,0,0,0,false,sr:player:2397923
Alfie Dorrington,TOT,Tottenham,DEF,48,0,0,0,0,true,sr:player:2439481
Mikey Moore,TOT,Tottenham,FWD,47,0,0,0,0,true,sr:player:2439499
Oyindamola Ajayi,TOT,Tottenham,MID,63,0,0,0,0,false,sr:player:2439511
William Lankshear,TOT,Tottenham,FWD,42,0,0,0,0,false,sr:player:2469939
Dante Cassanova,TOT,Tottenham,DEF,59,0,0,0,0,false,sr:player:2871221
Tom Heaton,MUN,Man Utd,GK,22,0,0,0,0,true,sr:player:18122
Luke Shaw,MUN,Man Utd,DEF,23,0,0,0,0,true,sr:player:190839
Andre Onana,MUN,Man Utd,GK,24,0,0,0,0,true,sr:player:772389
Matthijs de Ligt,MUN,Man Utd,DEF,4,0,0,0,0,false,sr:player:815732
Altay Bayindir,MUN,Man Utd,GK,1,0,0,0,0,true,sr:player:909328
Tyrell Malacia,MUN,Man Utd,DEF,12,0,0,0,0,true,sr:player:934214
Noussair Mazraoui,MUN,Man Utd,DEF,3,0,0,0,0,false,sr:player:943506
Manuel Ugarte,MUN,Man Utd,MID,25,0,0,0,0,false,sr:player:1016803
Joshua Zirkzee,MUN,Man Utd,FWD,11,0,0,0,0,false,sr:player:1382367
Will Fish,MUN,Man Utd,DEF,,0,0,0,0,false,sr:player:1652557
Leny Yoro,MUN,Man Utd,DEF,15,0,0,0,0,false,sr:player:2264779
Daniel Gore,MUN,Man Utd,MID,44,0,0,0,0,true,sr:player:2271105
Harry Amass,MUN,Man Utd,DEF,41,0,0,0,0,true,sr:player:2534697
Toby Collyer,MUN,Man Utd,MID,43,0,0,0,0,true,sr:player:2651045
Ethan Wheatley,MUN,Man Utd,FWD,36,0,0,0,0,true,sr:player:2691742
Lukasz Fabianski,WHU,West Ham,GK,1,0,0,0,0,true,sr:player:15479
Aaron Cresswell,WHU,West Ham,DEF,3,0,0,0,0,true,sr:player:43443
Niclas Fullkrug,WHU,West Ham,FWD,11,0,0,0,0,false,sr:player:132645
Guido Rodriguez,WHU,West Ham,MID,24,0,0,0,0,false,sr:player:609752
Carlos Soler,WHU,West Ham,MID,4,0,0,0,0,false,sr:player:936000
Andy Irving,WHU,West Ham,MID,39,0,0,0,0,true,sr:player:1012359
Crysencio Summerville,WHU,West Ham,FWD,7,0,0,0,0,false,sr:player:1298504
Jean-Clair Todibo,WHU,West Ham,DEF,25,0,0,0,0,false,sr:player:1561172
Kaelan Casey,WHU,West Ham,DEF,42,0,0,0,0,true,sr:player:2439761
Luis Guilherme Luis Guilherme,WHU,West Ham,MID,17,0,0,0,0,false,sr:player:2582799
Marcus Bettinelli,CHE,Chelsea,GK,13,0,0,0,0,true,sr:player:257993
Marc Cucurella,CHE,Chelsea,DEF,3,0,2,1,0,true,sr:player:769505
Jadon Sancho,CHE,Chelsea,FWD,19,0,0,0,0,true,sr:player:1047147
Joao Felix Joao Felix,CHE,Chelsea,FWD,14,0,0,0,0,false,sr:player:1050565
Kiernan Dewsbury Hall,CHE,Chelsea,MID,22,0,0,0,0,false,sr:player:1055173
Wesley Fofana,CHE,Chelsea,DEF,29,0,0,0,0,true,sr:player:1402953
Robert Sanchez,CHE,Chelsea,GK,1,0,0,0,0,true,sr:player:1500083
Filip Jorgensen,CHE,Chelsea,GK,12,0,0,0,0,false,sr:player:1630632
Lucas Bergstrom,CHE,Chelsea,GK,47,0,0,0,0,true,sr:player:1638334
Cesare Casadei,CHE,Chelsea,MID,31,0,0,0,0,true,sr:player:2058863
Deivid Washington Deivid Washington,CHE,Chelsea,FWD,36,0,0,0,0,true,sr:player:2200606
Romeo Lavia,CHE,Chelsea,MID,45,0,0,0,0,true,sr:player:2221794
Omari Kellyman,CHE,Chelsea,FWD,37,0,0,0,0,true,sr:player:2262627
Renato Veiga,CHE,Chelsea,MID,40,0,0,0,0,false,sr:player:2265643
Kiano Dyer,CHE,Chelsea,MID,33,0,0,0,0,true,sr:player:2437829
Tyrique George,CHE,Chelsea,MID,32,0,0,0,0,true,sr:player:2437845
Marc Guiu,CHE,Chelsea,FWD,38,0,0,0,0,false,sr:player:2463239
Josh Acheampong,CHE,Chelsea,DEF,34,0,0,0,0,false,sr:player:2844495
John Ruddy,NEW,Newcastle,GK,26,0,0,0,0,false,sr:player:1131
Martin Dubravka,NEW,Newcastle,GK,1,0,0,0,0,true,sr:player:42209
Mark Gillespie,NEW,Newcastle,GK,29,0,0,0,0,true,sr:player:108508
Odysseas Vlachodimos,NEW,Newcastle,GK,19,0,0,0,0,true,sr:player:138149
Emil Krafth,NEW,Newcastle,DEF,17,0,0,0,0,true,sr:player:150396
Nick Pope,NEW,Newcastle,GK,22,0,0,0,0,true,sr:player:162653
Isaac Hayden,NEW,Newcastle,MID,,0,0,0,0,true,sr:player:190843
Matt Targett,NEW,Newcastle,DEF,13,0,0,0,0,true,sr:player:368134
William Osula,NEW,Newcastle,FWD,18,0,0,0,0,true,sr:player:2161264
Garang Kuol,NEW,Newcastle,FWD,38,0,0,0,0,true,sr:player:2296791
Alex Murphy,NEW,Newcastle,DEF,37,0,0,0,0,true,sr:player:2306785
Robin Olsen,AVL,Aston Villa,GK,25,0,0,0,0,true,sr:player:26025
Kortney Hause,AVL,Aston Villa,DEF,30,0,0,0,0,true,sr:player:255189
Tyrone Mings,AVL,Aston Villa,DEF,5,0,0,0,0,true,sr:player:303638
Diego Carlos,AVL,Aston Villa,DEF,3,0,0,0,0,true,sr:player:604232
Emiliano Buendia,AVL,Aston Villa,MID,10,0,0,0,0,true,sr:player:783126
Ian Maatsen,AVL,Aston Villa,DEF,22,0,0,0,0,true,sr:player:1613022
Joe Gauci,AVL,Aston Villa,GK,18,0,0,0,0,true,sr:player:1619862
Oliwier Zych,AVL,Aston Villa,GK,48,0,0,0,0,true,sr:player:1996701
Lamare Bogarde,AVL,Aston Villa,MID,26,0,0,0,0,false,sr:player:2115982
Sil Swinkels,AVL,Aston Villa,DEF,50,0,0,0,0,false,sr:player:2115992
Jaden Philogene,AVL,Aston Villa,FWD,19,0,0,0,0,true,sr:player:2134236
Kosta Nedeljkovic,AVL,Aston Villa,DEF,20,0,0,0,0,true,sr:player:2355119
Kadan Young,AVL,Aston Villa,MID,72,0,0,0,0,true,sr:player:2530535
Travis Patterson,AVL,Aston Villa,DEF,66,0,0,0,0,true,sr:player:2592559
Triston Rowe,AVL,Aston Villa,DEF,45,0,0,0,0,false,sr:player:2865451
Aidan Borland,AVL,Aston Villa,MID,54,0,0,0,0,false,sr:player:2865453
Jamaldeen Jimoh,AVL,Aston Villa,MID,56,0,0,0,0,false,sr:player:2865455
Kobei Moore,AVL,Aston Villa,FWD,77,0,0,0,0,false,sr:player:2865459
Benjamin Tomaso Broggio,AVL,Aston Villa,MID,79,0,0,0,0,false,sr:player:2865463
Thierry Katsukunya,AVL,Aston Villa,DEF,,0,0,0,0,false,sr:player:2865467
Norberto Murara Neto,ARS,Arsenal,GK,32,0,0,0,0,true,sr:player:84844
Thomas Partey,ARS,Arsenal,MID,5,0,0,0,0,true,sr:player:316148
Kieran Tierney,ARS,Arsenal,DEF,3,0,0,0,0,true,sr:player:366592
David Raya,ARS,Arsenal,GK,22,0,0,0,0,true,sr:player:581310
Mikel Merino,ARS,Arsenal,MID,23,0,0,0,0,false,sr:player:592010
Jurrien Timber,ARS,Arsenal,DEF,12,0,0,0,0,true,sr:player:1059325
Riccardo Calafiori,ARS,Arsenal,DEF,33,0,0,0,0,false,sr:player:1297524
Salah Eddine Oulad M Hand,ARS,Arsenal,MID,56,0,0,0,0,false,sr:player:2244495
Tommy Setford,ARS,Arsenal,GK,36,0,0,0,0,false,sr:player:2268223
Ethan Nwaneri,ARS,Arsenal,FWD,53,0,0,0,0,true,sr:player:2447727
Nathan Butler-Oyedeji,ARS,Arsenal,MID,37,0,0,0,0,false,sr:player:2506009
Myles Lewis-Skelly,ARS,Arsenal,MID,49,0,0,0,0,true,sr:player:2518835
Alexei Rojas,ARS,Arsenal,GK,62,0,0,0,0,false,sr:player:2605855
Ayden Heaven,ARS,Arsenal,DEF,76,0,0,0,0,true,sr:player:2691816
Maldini Kacurri,ARS,Arsenal,DEF,47,0,0,0,0,false,sr:player:2691826
Joshua Nichols,ARS,Arsenal,DEF,51,0,0,0,0,false,sr:player:2691828
Jimi Gower,ARS,Arsenal,MID,44,0,0,0,0,false,sr:player:2711838
Joshua Noah Lynnford Joshua,ARS,Arsenal,DEF,61,0,0,0,0,false,sr:player:2736309
Ismeal Kabia,ARS,Arsenal,FWD,46,0,0,0,0,false,sr:player:2758543
Jack Porter,ARS,Arsenal,GK,92,0,0,0,0,false,sr:player:2863029
Issa Diop,FUL,Fulham,DEF,31,0,0,0,0,true,sr:player:361320
Steven Benda,FUL,Fulham,GK,23,0,0,0,0,true,sr:player:880750
Reiss Nelson,FUL,Fulham,FWD,19,0,0,0,0,true,sr:player:936316
Ryan Sessegnon,FUL,Fulham,MID,30,0,0,0,0,true,sr:player:978193
Jorge Cuenca,FUL,Fulham,MID,15,0,0,0,0,false,sr:player:1096424
Joshua King,FUL,Fulham,DEF,24,0,0,0,0,true,sr:player:1973247
Martial Godo,FUL,Fulham,MID,47,0,0,0,0,false,sr:player:2426365
Callum McFarlane,FUL,Fulham,FWD,34,0,0,0,0,false,sr:player:2535377
Alisson Ramses Alisson,LIV,Liverpool,GK,1,0,0,0,0,true,sr:player:243609
Caoimhin Kelleher,LIV,Liverpool,GK,62,0,0,0,0,true,sr:player:755360
Ibrahima Konate,LIV,Liverpool,DEF,5,0,0,0,0,true,sr:player:936572
Federico Chiesa,LIV,Liverpool,MID,14,0,0,0,0,false,sr:player:1012117
Vitezslav Jaros,LIV,Liverpool,GK,56,0,0,0,0,true,sr:player:1298242
Tyler Morton,LIV,Liverpool,MID,80,0,0,0,0,true,sr:player:1939964
Trey Nyoni,LIV,Liverpool,MID,98,0,0,0,0,true,sr:player:2714270
Alex McCarthy,SOU,Southampton,GK,1,0,0,0,0,false,sr:player:45502
Jack Stephens,SOU,Southampton,DEF,5,0,0,0,0,false,sr:player:134361
Ryan Fraser,SOU,Southampton,FWD,24,0,0,0,0,true,sr:player:138261
Jan Bednarek,SOU,Southampton,DEF,35,0,0,0,0,false,sr:player:286085
Paul Onuachu,SOU,Southampton,FWD,32,0,0,0,0,false,sr:player:295123
Ryan Manning,SOU,Southampton,MID,3,0,0,0,0,false,sr:player:328701
Adam Armstrong,SOU,Southampton,FWD,9,0,0,0,0,false,sr:player:361352
James Bree,SOU,Southampton,DEF,14,0,0,0,0,false,sr:player:555406
Joe Lumley,SOU,Southampton,GK,13,0,0,0,0,false,sr:player:591620
Kyle Walker-Peters,SOU,Southampton,DEF,2,0,0,0,0,false,sr:player:920380
Aaron Ramsdale,SOU,Southampton,GK,30,0,0,0,0,true,sr:player:988185
Joe Aribo,SOU,Southampton,MID,7,0,0,0,0,false,sr:player:1084012
Ross Stewart,SOU,Southampton,FWD,11,0,0,0,0,false,sr:player:1096354
Flynn Downes,SOU,Southampton,MID,4,0,0,0,0,true,sr:player:1132685
Yukinari Sugawara,SOU,Southampton,DEF,16,0,0,0,0,false,sr:player:1322500
Gavin Bazunu,SOU,Southampton,GK,31,0,0,0,0,false,sr:player:1494177
Nathan Wood,SOU,Southampton,DEF,15,0,0,0,0,false,sr:player:1555691
Armel Bella-Kotchap,SOU,Southampton,DEF,37,0,0,0,0,false,sr:player:1576010
Taylor Harwood-Bellis,SOU,Southampton,DEF,6,0,0,0,0,true,sr:player:1628260
Will Smallbone,SOU,Southampton,MID,8,0,0,0,0,false,sr:player:1770020
Kamaldeen Sulemana,SOU,Southampton,FWD,20,0,0,0,0,false,sr:player:2021829
Ronnie Edwards,SOU,Southampton,DEF,12,0,0,0,0,false,sr:player:2057757
Lesley Ugochukwu,SOU,Southampton,MID,26,0,0,0,0,true,sr:player:2059271
Mateus Fernandes,SOU,Southampton,MID,18,0,0,0,0,false,sr:player:2221324
Juan Larios,SOU,Southampton,DEF,28,0,0,0,0,false,sr:player:2246807
Joe O'Brien Whitmarsh,SOU,Southampton,MID,60,0,0,0,0,false,sr:player:2306869
Romeo Akachukwu,SOU,Southampton,MID,54,0,0,0,0,false,sr:player:2336549
Tyler Dibling,SOU,Southampton,FWD,33,0,0,0,0,false,sr:player:2346621
Samuel Amo-Ameyaw,SOU,Southampton,MID,27,0,0,0,0,false,sr:player:2615889
Jay Robinson,SOU,Southampton,FWD,46,0,0,0,0,false,sr:player:2714262
Jayden Moore,SOU,Southampton,MID,57,0,0,0,0,false,sr:player:2849359
Asmir Begovic,EVE,Everton,GK,31,0,0,0,0,false,sr:player:13918
Dele Alli,EVE,Everton,MID,20,0,0,0,0,true,sr:player:198028
Joao Virginia,EVE,Everton,GK,12,0,0,0,0,true,sr:player:936352
Jesper Lindstrom,EVE,Everton,MID,29,0,0,0,0,false,sr:player:1574022
Jake O'Brien,EVE,Everton,DEF,15,0,0,0,0,false,sr:player:1645136
Iliman Ndiaye,EVE,Everton,FWD,10,0,0,0,0,false,sr:player:2120122
Harry Tyrer,EVE,Everton,GK,53,0,0,0,0,true,sr:player:2125558
Tim Iroegbunam,EVE,Everton,MID,42,0,0,0,0,true,sr:player:2161262
Youssef Chermiti,EVE,Everton,FWD,28,0,0,0,0,true,sr:player:2265047
Martin Sherif,EVE,Everton,FWD,67,0,0,0,0,false,sr:player:2611499
Roman Dixon,EVE,Everton,DEF,75,0,0,0,0,false,sr:player:2836737
Harrison Armstrong,EVE,Everton,MID,45,0,0,0,0,false,sr:player:2836855
Luke Butterfield,EVE,Everton,,69,0,0,0,0,false,sr:player:2861607
Bradley Moonan,EVE,Everton,DEF,72,0,0,0,0,false,sr:player:2861609
Owen Barker,EVE,Everton,MID,79,0,0,0,0,false,sr:player:2861611
Josh Dasilva,BRE,Brentford,MID,10,0,0,0,0,true,sr:player:796084
Paris Maghoma,BRE,Brentford,MID,32,0,0,0,0,false,sr:player:1058769
Hakon Valdimarsson,BRE,Brentford,GK,12,0,0,0,0,true,sr:player:1141630
Sepp Van den Berg,BRE,Brentford,DEF,4,0,0,0,0,true,sr:player:1404425
Aaron Hickey,BRE,Brentford,MID,2,0,0,0,0,true,sr:player:1652589
Yehor Yarmolyuk,BRE,Brentford,MID,18,0,0,0,0,true,sr:player:1858626
Matthew Cox,BRE,Brentford,GK,13,0,0,0,0,true,sr:player:2065067
Fabio Carvalho,BRE,Brentford,MID,14,0,0,0,0,true,sr:player:2074545
Igor Thiago,BRE,Brentford,FWD,9,0,0,0,0,false,sr:player:2232678
Kim Ji-soo,BRE,Brentford,DEF,36,0,0,0,0,true,sr:player:2296809
Gustavo Nunes,BRE,Brentford,FWD,,0,0,0,0,false,sr:player:2375191
Ryan Trevitt,BRE,Brentford,MID,28,0,0,0,0,true,sr:player:2426355
Iwan Morgan,BRE,Brentford,FWD,40,0,0,0,0,false,sr:player:2610775
Jayden Meghoma,BRE,Brentford,DEF,21,0,0,0,0,false,sr:player:2611327
Yunus Emre Konak,BRE,Brentford,MID,26,0,0,0,0,true,sr:player:2657821
Tony Yogane,BRE,Brentford,MID,42,0,0,0,0,false,sr:player:2836739
Kepa Arrizabalaga,BOU,Bournemouth,GK,13,0,0,0,0,true,sr:player:232422
Tyler Adams,BOU,Bournemouth,MID,18,0,0,0,0,true,sr:player:809778
Mark Travers,BOU,Bournemouth,GK,42,0,0,0,0,true,sr:player:934536
Francisco Evanilson Evanilson,BOU,Bournemouth,FWD,9,0,0,0,0,false,sr:player:1436414
James Hill,BOU,Bournemouth,DEF,23,0,0,0,0,true,sr:player:1653565
Julian Araujo,BOU,Bournemouth,DEF,22,0,0,0,0,false,sr:player:1712141
Will Dennis,BOU,Bournemouth,GK,40,0,0,0,0,true,sr:player:1839276
Milos Kerkez,BOU,Bournemouth,DEF,3,0,2,1,0,true,sr:player:1989917
Dean Huijsen,BOU,Bournemouth,DEF,2,0,0,0,0,false,sr:player:2354391
Michael DaCosta,BOU,Bournemouth,FWD,50,0,0,0,0,true,sr:player:2539017
Nathaniel Clyne,CRY,Crystal Palace,DEF,17,0,0,0,0,true,sr:player:43215
Dean Henderson,CRY,Crystal Palace,GK,1,0,0,0,0,true,sr:player:353202
Remi Matthews,CRY,Crystal Palace,GK,31,0,0,0,0,true,sr:player:581610
Rob Holding,CRY,Crystal Palace,DEF,4,0,0,0,0,true,sr:player:821198
Daichi Kamada,CRY,Crystal Palace,MID,18,0,0,0,0,false,sr:player:827253
Matt Turner,CRY,Crystal Palace,GK,30,0,0,0,0,true,sr:player:967039
Ismaila Sarr,CRY,Crystal Palace,FWD,7,0,0,0,0,false,sr:player:1011939
Maxence Lacroix,CRY,Crystal Palace,DEF,5,0,0,0,0,false,sr:player:1132173
Cheick Oumar Doucoure,CRY,Crystal Palace,MID,28,0,0,0,0,true,sr:player:1322160
Chadi Riad,CRY,Crystal Palace,DEF,34,0,0,0,0,false,sr:player:2070773
Justin Devenny,CRY,Crystal Palace,MID,55,0,0,0,0,false,sr:player:2325471
Kaden Rodney,CRY,Crystal Palace,MID,42,0,0,0,0,true,sr:player:2426383
Franco Umeh Chibueze,CRY,Crystal Palace,FWD,46,0,0,0,0,true,sr:player:2769695
Asher Agbinone,CRY,Crystal Palace,FWD,64,0,0,0,0,false,sr:player:2836701
Caleb Kporha,CRY,Crystal Palace,DEF,58,0,0,0,0,false,sr:player:2836707
Lisandro Martinez,MUN,Man Utd,DEF,6,0,1,1,-0.5,true,sr:player:1134755
Benoit Badiashile,CHE,Chelsea,DEF,5,0,1,1,-0.5,true,sr:player:1299814
Joel Ward,CRY,Crystal Palace,DEF,2,0,1,1,-0.5,true,sr:player:39183
Andrew Omobamidele,NFO,Nottingham,DEF,12,0,0,1,-1,true,sr:player:1737595
Ruben Dias,MCI,Man City,DEF,3,0,0,1,-1,true,sr:player:318941
Adam Webster,BRI,Brighton,DEF,4,0,0,1,-1,true,sr:player:216308
Arijanet Muric,IPS,Ipswich,GK,1,0,0,1,-1,true,sr:player:1047063
Alphonse Areola,WHU,West Ham,GK,23,0,0,1,-1,true,sr:player:96531
Wes Foderingham,WHU,West Ham,GK,21,0,0,1,-1,true,sr:player:187861
Konstantinos Mavropanos,WHU,West Ham,DEF,15,1,0,2,-1,true,sr:player:950080
Bernd Leno,FUL,Fulham,GK,1,0,0,1,-1,true,sr:player:103335
Ashley Young,EVE,Everton,DEF,18,0,0,1,-1,true,sr:player:10589
Seamus Coleman,EVE,Everton,DEF,23,0,0,1,-1,true,sr:player:76632
Jordan Pickford,EVE,Everton,GK,1,0,0,1,-1,true,sr:player:138530
Emiliano Martinez,AVL,Aston Villa,GK,23,0,0,2,-2,true,sr:player:158263
