name,team_abbr,team_name,pos,jersey_number,goals_ref,assists_ref,own_goals_ref,points_ref,epl_in_ref,id
James Maddison,TOT,Tottenham,MID,10,9,7,0,12.5,true,sr:player:356398
Nicolas Jackson,CHE,Chelsea,FWD,15,10,5,0,12.5,true,sr:player:2084331
Eberechi Eze,CRY,Crystal Palace,FWD,10,8,8,0,12,true,sr:player:1088470
Danny Welbeck,BRI,Brighton,FWD,18,10,4,0,12,true,sr:player:33902
Kaoru Mitoma,BRI,Brighton,MID,22,10,4,0,12,true,sr:player:1494743
Alex Iwobi,FUL,Fulham,FWD,17,9,6,0,12,true,sr:player:352770
Cody Gakpo,LFC,Liverpool,FWD,18,10,4,0,12,true,sr:player:1058437
Kevin Schade,BRE,Brentford,FWD,7,11,2,0,12,true,sr:player:1575774
Son Heung-min,TOT,Tottenham,FWD,7,7,9,0,11.5,true,sr:player:111505
Anthony Elanga,NEW,Newcastle,FWD,20,6,11,0,11.5,true,sr:player:1718666
Leandro Trossard,ARS,Arsenal,MID,19,8,7,0,11.5,true,sr:player:135666
Ismaila Sarr,CRY,Crystal Palace,FWD,7,8,6,0,11,true,sr:player:1011939
Morgan Gibbs-White,NFO,Nottingham,MID,10,7,8,0,11,true,sr:player:1089760
Amad Diallo,MUN,Manchester United,MID,16,8,6,0,11,true,sr:player:1886726
Harvey Barnes,NEW,Newcastle,FWD,11,9,4,0,11,true,sr:player:1055187
Bukayo Saka,ARS,Arsenal,FWD,7,6,10,0,11,true,sr:player:1479630
Kai Havertz,ARS,Arsenal,FWD,29,9,3,0,10.5,true,sr:player:937210
Francisco Evanilson Evanilson,BOU,Bournemouth,FWD,9,10,1,0,10.5,true,sr:player:1436414
Gabriel Martinelli,ARS,Arsenal,FWD,11,8,4,0,10,true,sr:player:1663313
Dominic Solanke,TOT,Tottenham,FWD,19,9,3,1,9.5,true,sr:player:361420
Tomas Soucek,WHU,West Ham,MID,28,9,1,0,9.5,true,sr:player:359840
Enzo Fernandez,CHE,Chelsea,MID,8,6,7,0,9.5,true,sr:player:1696477
Dominik Szoboszlai,LFC,Liverpool,MID,8,6,7,0,9.5,true,sr:player:1064588
Dejan Kulusevski,TOT,Tottenham,MID,21,7,4,0,9,true,sr:player:1065654
Iliman Ndiaye,EVE,Everton,FWD,10,9,0,0,9,true,sr:player:2120122
Dango Ouattara,BOU,Bournemouth,FWD,11,7,4,0,9,true,sr:player:2200344
Anthony Gordon,NEW,Newcastle,FWD,10,6,5,0,8.5,true,sr:player:1373595
Mikel Merino,ARS,Arsenal,MID,23,7,3,0,8.5,true,sr:player:592010
Noni Madueke,ARS,Arsenal,FWD,20,7,3,0,8.5,true,sr:player:1300742
Phil Foden,MCI,Manchester City,MID,47,7,2,0,8,true,sr:player:1047129
Yankuba Minteh,BRI,Brighton,FWD,11,6,4,0,8,true,sr:player:2429289
Bruno Guimaraes,NEW,Newcastle,MID,39,5,6,0,8,true,sr:player:1141016
Rodrigo Muniz,FUL,Fulham,FWD,9,8,0,0,8,true,sr:player:1557191
Norberto Bercique Beto,EVE,Everton,FWD,9,8,0,0,8,true,sr:player:1658367
Omar Marmoush,MCI,Manchester City,FWD,7,7,1,0,7.5,true,sr:player:1107697
Rayan Ait Nouri,MCI,Manchester City,DEF,21,4,7,0,7.5,true,sr:player:1432949
Alejandro Garnacho,MUN,Manchester United,FWD,17,6,3,0,7.5,true,sr:player:1955902
Declan Rice,ARS,Arsenal,MID,41,4,7,0,7.5,true,sr:player:934552
Emile Smith Rowe,FUL,Fulham,MID,32,6,3,0,7.5,true,sr:player:937004
Alexis Mac Allister,LFC,Liverpool,MID,10,5,5,0,7.5,true,sr:player:1245194
Mateo Kovacic,MCI,Manchester City,MID,8,6,2,0,7,true,sr:player:136710
Georginio Rutter,BRI,Brighton,FWD,10,5,4,0,7,true,sr:player:1565286
Pedro Neto,CHE,Chelsea,FWD,7,4,6,0,7,true,sr:player:1115761
Christian Norgaard,ARS,Arsenal,MID,16,5,4,0,7,true,sr:player:135256
Martin Odegaard,ARS,Arsenal,MID,8,3,8,0,7,true,sr:player:547410
Dwight McNeil,EVE,Everton,MID,7,4,6,0,7,true,sr:player:1484502
Daniel Munoz,CRY,Crystal Palace,DEF,12,4,5,0,6.5,true,sr:player:1108227
Mohammed Kudus,TOT,Tottenham,MID,20,5,3,0,6.5,true,sr:player:1321798
Youri Tielemans,AVL,Aston Villa,MID,8,3,7,0,6.5,true,sr:player:331737
Harry Wilson,FUL,Fulham,FWD,8,6,1,0,6.5,true,sr:player:355528
Mikkel Damsgaard,BRE,Brentford,FWD,24,2,9,0,6.5,true,sr:player:1336192
Nikola Milenkovic,NFO,Nottingham,DEF,31,5,2,0,6,true,sr:player:976055
Callum Hudson Odoi,NFO,Nottingham,FWD,7,5,2,0,6,true,sr:player:1089772
Bernardo Silva,MCI,Manchester City,MID,20,4,4,0,6,true,sr:player:331209
Jeremy Doku,MCI,Manchester City,FWD,11,3,6,0,6,true,sr:player:1297614
Facundo Buonanotte,BRI,Brighton,MID,40,5,2,0,6,true,sr:player:2184938
Jack Hinshelwood,BRI,Brighton,MID,41,5,2,0,6,true,sr:player:2532547
Marc Cucurella,CHE,Chelsea,DEF,3,5,2,0,6,true,sr:player:769505
Darwin Nunez,LFC,Liverpool,FWD,9,5,2,0,6,true,sr:player:1406549
Marcus Tavernier,BOU,Bournemouth,MID,16,3,6,0,6,true,sr:player:944820
Jean-Ricner Bellegarde,WOL,Wolverhampton,MID,27,2,7,0,5.5,true,sr:player:1011881
Joelinton Cassio Joelinton,NEW,Newcastle,FWD,7,4,3,0,5.5,true,sr:player:560128
Adama Traore,FUL,Fulham,FWD,11,2,7,0,5.5,true,sr:player:286165
Elliot Anderson,NFO,Nottingham,MID,8,2,6,0,5,true,sr:player:1635776
Josko Gvardiol,MCI,Manchester City,DEF,24,5,0,0,5,true,sr:player:1645860
Savio Savinho,MCI,Manchester City,MID,26,1,8,0,5,true,sr:player:2057939
Pedro Porro,TOT,Tottenham,DEF,23,2,6,0,5,true,sr:player:1363568
Jadon Sancho,MUN,Manchester United,FWD,25,3,4,0,5,true,sr:player:1047147
Lucas Paqueta,WHU,West Ham,MID,10,5,0,0,5,true,sr:player:991199
Sandro Tonali,NEW,Newcastle,MID,8,4,2,0,5,true,sr:player:1265128
Ethan Nwaneri,ARS,Arsenal,FWD,22,4,2,0,5,true,sr:player:2447727
Antonee Robinson,FUL,Fulham,DEF,33,0,10,0,5,true,sr:player:867054
Ryan Sessegnon,FUL,Fulham,MID,30,4,2,0,5,true,sr:player:978193
Richarlison Richarlison,TOT,Tottenham,FWD,9,4,1,0,4.5,true,sr:player:992069
Curtis Jones,LFC,Liverpool,MID,17,3,3,0,4.5,true,sr:player:1298510
Milos Kerkez,LFC,Liverpool,DEF,6,2,5,0,4.5,true,sr:player:1989917
Goncalo Guedes,WOL,Wolverhampton,MID,29,2,4,0,4,true,sr:player:280979
Ilkay Gundogan,MCI,Manchester City,MID,19,1,6,0,4,true,sr:player:45853
Matheus Nunes,MCI,Manchester City,MID,27,1,6,0,4,true,sr:player:1560920
Pape Matar Sarr,TOT,Tottenham,MID,29,3,2,0,4,true,sr:player:1957969
Rasmus Hojlund,MUN,Manchester United,FWD,9,4,0,0,4,true,sr:player:1986771
Niclas Fullkrug,WHU,West Ham,FWD,11,3,2,0,4,true,sr:player:132645
Christopher Nkunku,CHE,Chelsea,FWD,18,3,2,0,4,true,sr:player:769333
Fabian Schar,NEW,Newcastle,DEF,5,4,0,0,4,true,sr:player:101882
Andreas Pereira,FUL,Fulham,MID,18,2,4,0,4,true,sr:player:285949
Joao Gomes,WOL,Wolverhampton,MID,8,3,1,0,3.5,true,sr:player:2014161
Eddie Nketiah,CRY,Crystal Palace,FWD,9,3,1,0,3.5,true,sr:player:937000
Jota Silva,NFO,Nottingham,FWD,20,3,1,0,3.5,true,sr:player:2068145
Julio Enciso,BRI,Brighton,FWD,31,2,3,0,3.5,true,sr:player:1720568
Carlos Baleba,BRI,Brighton,MID,17,3,1,0,3.5,true,sr:player:2327301
Joshua Zirkzee,MUN,Manchester United,FWD,11,3,1,0,3.5,true,sr:player:1382367
Aaron Wan-Bissaka,WHU,West Ham,DEF,29,2,5,1,3.5,true,sr:player:1086144
Trevoh Chalobah,CHE,Chelsea,DEF,23,3,1,0,3.5,true,sr:player:936112
Ross Barkley,AVL,Aston Villa,MID,6,3,1,0,3.5,true,sr:player:98435
Gabriel Magalhaes,ARS,Arsenal,DEF,6,3,1,0,3.5,true,sr:player:1099395
Virgil van Dijk,LFC,Liverpool,DEF,4,3,1,0,3.5,true,sr:player:151545
Carlos Alcaraz,EVE,Everton,MID,24,2,3,0,3.5,true,sr:player:2005163
Nathan Collins,BRE,Brentford,DEF,22,2,3,0,3.5,true,sr:player:1069190
Ryan Christie,BOU,Bournemouth,FWD,10,2,3,0,3.5,true,sr:player:322391
James McAtee,MCI,Manchester City,MID,87,3,0,0,3,true,sr:player:2221700
Tariq Lamptey,BRI,Brighton,DEF,2,2,2,0,3,true,sr:player:1297724
Mats Wieffer,BRI,Brighton,MID,27,1,4,0,3,true,sr:player:1621256
Brajan Gruda,BRI,Brighton,MID,8,1,4,0,3,true,sr:player:2541095
John McGinn,AVL,Aston Villa,MID,7,1,4,0,3,true,sr:player:250223
Donyell Malen,AVL,Aston Villa,FWD,17,3,0,0,3,true,sr:player:815746
Amadou Onana,AVL,Aston Villa,MID,24,3,0,0,3,true,sr:player:1402475
Simon Adingra,SUN,Sunderland,FWD,,2,2,0,3,true,sr:player:2142670
Gabriel Jesus,ARS,Arsenal,FWD,9,3,0,0,3,true,sr:player:835751
Michael Keane,EVE,Everton,DEF,5,3,0,0,3,true,sr:player:110846
Marshall Munetsi,WOL,Wolverhampton,MID,5,2,1,0,2.5,true,sr:player:1257248
Tyrick Mitchell,CRY,Crystal Palace,DEF,3,0,5,0,2.5,true,sr:player:1984029
Ola Aina,NFO,Nottingham,DEF,34,2,1,0,2.5,true,sr:player:284421
Ryan Yates,NFO,Nottingham,MID,22,2,1,0,2.5,true,sr:player:1014789
Neco Williams,NFO,Nottingham,DEF,3,1,3,0,2.5,true,sr:player:1298482
Yasin Ayari,BRI,Brighton,MID,26,2,1,0,2.5,true,sr:player:2052205
Mathys Tel,TOT,Tottenham,FWD,11,2,1,0,2.5,false,sr:player:2059277
Lisandro Martinez,MUN,Manchester United,DEF,6,2,1,0,2.5,true,sr:player:1134755
Emerson Emerson,WHU,West Ham,DEF,33,2,1,0,2.5,true,sr:player:155997
Levi Colwill,CHE,Chelsea,DEF,6,2,1,0,2.5,true,sr:player:1947798
Jacob Ramsey,AVL,Aston Villa,MID,41,1,3,0,2.5,true,sr:player:1705555
Jurrien Timber,ARS,Arsenal,DEF,12,1,3,0,2.5,true,sr:player:1059325
Riccardo Calafiori,ARS,Arsenal,DEF,33,2,1,0,2.5,true,sr:player:1297524
Keane Lewis-Potter,BRE,Brentford,FWD,23,1,3,0,2.5,true,sr:player:1662121
Fabio Carvalho,BRE,Brentford,MID,14,2,1,0,2.5,true,sr:player:2074545
Enes Unal,BOU,Bournemouth,FWD,26,2,1,0,2.5,true,sr:player:336655
Lewis Cook,BOU,Bournemouth,MID,4,1,3,0,2.5,true,sr:player:548188
Hwang Hee-chan,WOL,Wolverhampton,FWD,11,2,0,0,2,true,sr:player:754008
Rodrigo Gomes,WOL,Wolverhampton,FWD,21,2,0,0,2,true,sr:player:1987419
Murillo Santiago Murillo,NFO,Nottingham,MID,5,2,0,0,2,true,sr:player:2361593
John Stones,MCI,Manchester City,DEF,5,2,0,0,2,true,sr:player:152077
Ederson Ederson,MCI,Manchester City,GK,31,0,4,0,2,true,sr:player:254491
Rico Lewis,MCI,Manchester City,DEF,82,1,2,0,2,true,sr:player:2246775
Nico O'Reilly,MCI,Manchester City,MID,75,2,0,0,2,true,sr:player:2265485
Matt O'Riley,BRI,Brighton,MID,33,2,2,1,2,true,sr:player:1245272
Rodrigo Bentancur,TOT,Tottenham,MID,30,2,0,0,2,true,sr:player:810644
Yves Bissouma,TOT,Tottenham,MID,8,2,0,0,2,true,sr:player:1010967
Matthijs de Ligt,MUN,Manchester United,DEF,4,2,0,0,2,true,sr:player:815732
James Ward-Prowse,WHU,West Ham,MID,8,1,2,0,2,true,sr:player:161717
Reece James,CHE,Chelsea,DEF,24,1,2,0,2,true,sr:player:1140070
Moises Caicedo,CHE,Chelsea,MID,25,1,2,0,2,true,sr:player:1796106
Lewis Hall,NEW,Newcastle,DEF,20,0,4,0,2,true,sr:player:2249331
Lucas Digne,AVL,Aston Villa,DEF,12,0,4,0,2,true,sr:player:96538
Leon Bailey,AVL,Aston Villa,FWD,31,1,2,0,2,true,sr:player:883594
Ezri Konsa,AVL,Aston Villa,DEF,4,2,0,0,2,true,sr:player:942488
Ian Maatsen,AVL,Aston Villa,DEF,22,1,2,0,2,true,sr:player:1613022
William Saliba,ARS,Arsenal,DEF,2,2,0,0,2,true,sr:player:1513599
Ibrahima Konate,LFC,Liverpool,DEF,5,1,2,0,2,true,sr:player:936572
Ryan Gravenberch,LFC,Liverpool,MID,38,0,4,0,2,true,sr:player:1319220
Harvey Elliott,LFC,Liverpool,MID,19,1,2,0,2,true,sr:player:1604594
Vitaliy Mykolenko,EVE,Everton,DEF,19,1,2,0,2,true,sr:player:935132
Jake O'Brien,EVE,Everton,DEF,15,2,0,0,2,true,sr:player:1645136
David Brooks,BOU,Bournemouth,MID,7,2,0,0,2,true,sr:player:1056631
Matt Doherty,WOL,Wolverhampton,DEF,2,2,1,1,1.5,true,sr:player:143047
Will Hughes,CRY,Crystal Palace,MID,19,0,3,0,1.5,true,sr:player:193554
Justin Devenny,CRY,Crystal Palace,MID,55,1,1,0,1.5,true,sr:player:2325471
Romain Esse,CRY,Crystal Palace,MID,21,1,1,0,1.5,true,sr:player:2530513
Jack Grealish,MCI,Manchester City,MID,10,1,1,0,1.5,true,sr:player:189061
Jan Paul van Hecke,BRI,Brighton,DEF,6,1,1,0,1.5,true,sr:player:1630352
Jack Harrison,LEE,Leeds United,MID,38,1,1,0,1.5,false,sr:player:951350
Diogo Dalot,MUN,Manchester United,DEF,2,0,3,0,1.5,true,sr:player:817522
Manuel Ugarte,MUN,Manchester United,MID,25,1,3,1,1.5,true,sr:player:1016803
Crysencio Summerville,WHU,West Ham,FWD,7,1,1,0,1.5,true,sr:player:1298504
Tosin Adarabioyo,CHE,Chelsea,DEF,4,1,1,0,1.5,true,sr:player:352668
Lesley Ugochukwu,CHE,Chelsea,MID,16,1,1,0,1.5,true,sr:player:2059271
Tyrique George,CHE,Chelsea,MID,32,1,1,0,1.5,true,sr:player:2437845
Kieran Trippier,NEW,Newcastle,DEF,2,0,3,0,1.5,true,sr:player:69256
Matty Cash,AVL,Aston Villa,DEF,2,1,1,0,1.5,true,sr:player:968907
Reiss Nelson,ARS,Arsenal,FWD,24,1,1,0,1.5,true,sr:player:936316
Idrissa Gana Gueye,EVE,Everton,MID,27,0,3,0,1.5,true,sr:player:106337
James Tarkowski,EVE,Everton,DEF,6,1,1,0,1.5,true,sr:player:145188
Tyler Adams,BOU,Bournemouth,MID,12,0,3,0,1.5,true,sr:player:809778
Luis Sinisterra,BOU,Bournemouth,FWD,17,1,1,0,1.5,true,sr:player:1124571
Emmanuel Agbadou,WOL,Wolverhampton,DEF,12,1,0,0,1,true,sr:player:2062765
Marc Guehi,CRY,Crystal Palace,DEF,6,3,2,3,1,true,sr:player:936120
Chris Richards,CRY,Crystal Palace,DEF,26,1,0,0,1,true,sr:player:1512315
Matheus Franca,CRY,Crystal Palace,MID,11,1,0,0,1,true,sr:player:2185650
Adam Wharton,CRY,Crystal Palace,MID,20,0,2,0,1,true,sr:player:2284355
Taiwo Awoniyi,NFO,Nottingham,FWD,9,1,0,0,1,true,sr:player:359664
Nicolas Gonzalez,MCI,Manchester City,MID,14,1,0,0,1,true,sr:player:1600852
Ferdi Kadioglu,BRI,Brighton,DEF,24,1,0,0,1,true,sr:player:934224
Diego Gomez,BRI,Brighton,MID,25,1,0,0,1,true,sr:player:2070005
Cristian Romero,TOT,Tottenham,DEF,17,1,0,0,1,true,sr:player:952278
Djed Spence,TOT,Tottenham,DEF,24,1,2,1,1,true,sr:player:1564490
Micky van de Ven,TOT,Tottenham,DEF,37,0,2,0,1,true,sr:player:1938216
Wilson Odobert,TOT,Tottenham,FWD,28,1,0,0,1,true,sr:player:2239979
Carlos Henrique Casemiro,MUN,Manchester United,MID,18,1,0,0,1,true,sr:player:122951
Harry Maguire,MUN,Manchester United,DEF,5,1,0,0,1,true,sr:player:149380
Mason Mount,MUN,Manchester United,MID,7,1,0,0,1,true,sr:player:936126
Noussair Mazraoui,MUN,Manchester United,DEF,3,0,2,0,1,true,sr:player:943506
Kyle Walker-Peters,WHU,West Ham,DEF,2,0,2,0,1,true,sr:player:920380
Raheem Sterling,CHE,Chelsea,FWD,,0,2,0,1,true,sr:player:138534
Ben Chilwell,CHE,Chelsea,DEF,21,1,0,0,1,true,sr:player:754594
Axel Disasi,CHE,Chelsea,DEF,2,1,0,0,1,true,sr:player:940716
Joe Willock,NEW,Newcastle,MID,28,0,2,0,1,true,sr:player:937002
William Osula,NEW,Newcastle,FWD,18,1,0,0,1,true,sr:player:2161264
Lewis Miley,NEW,Newcastle,MID,67,1,0,0,1,true,sr:player:2558327
Boubacar Kamara,AVL,Aston Villa,MID,44,1,0,0,1,true,sr:player:936566
Ben White,ARS,Arsenal,DEF,4,0,2,0,1,true,sr:player:1015179
Jakub Kiwior,ARS,Arsenal,DEF,15,1,0,0,1,true,sr:player:1091644
Myles Lewis-Skelly,ARS,Arsenal,MID,49,1,0,0,1,true,sr:player:2518835
Kenny Tete,FUL,Fulham,DEF,2,0,2,0,1,true,sr:player:190877
Sasa Lukic,FUL,Fulham,MID,20,0,2,0,1,true,sr:player:280823
Calvin Bassey,FUL,Fulham,DEF,3,1,0,0,1,true,sr:player:1055149
Conor Bradley,LFC,Liverpool,DEF,12,0,2,0,1,true,sr:player:1939996
Mathias Jensen,BRE,Brentford,MID,8,0,2,0,1,true,sr:player:775687
Mads Roerslev,BRE,Brentford,DEF,30,0,2,0,1,true,sr:player:935526
Ethan Pinnock,BRE,Brentford,DEF,5,2,0,1,1,true,sr:player:1056935
Toti Gomes,WOL,Wolverhampton,DEF,24,0,1,0,0.5,true,sr:player:1687671
Jefferson Lerma,CRY,Crystal Palace,MID,8,0,1,0,0.5,true,sr:player:355796
Ibrahim Sangare,NFO,Nottingham,MID,6,0,1,0,0.5,true,sr:player:1017603
Nicolas Dominguez,NFO,Nottingham,MID,16,0,1,0,0.5,true,sr:player:1103661
Bart Verbruggen,BRI,Brighton,GK,1,0,1,0,0.5,true,sr:player:1859404
Dane Scarlett,TOT,Tottenham,FWD,44,0,1,0,0.5,true,sr:player:1939870
Lucas Bergvall,TOT,Tottenham,MID,15,0,1,0,0.5,true,sr:player:2397923
Sean Longstaff,LEE,Leeds United,MID,8,0,1,0,0.5,true,sr:player:1090782
Guido Rodriguez,WHU,West Ham,MID,24,0,1,0,0.5,true,sr:player:609752
Edson Alvarez,WHU,West Ham,MID,19,0,1,0,0.5,true,sr:player:1020079
Max Kilman,WHU,West Ham,DEF,3,0,1,0,0.5,true,sr:player:1263492
Kiernan Dewsbury-Hall,CHE,Chelsea,MID,22,0,1,0,0.5,true,sr:player:1055173
Malo Gusto,CHE,Chelsea,DEF,27,0,1,0,0.5,true,sr:player:1948364
Romeo Lavia,CHE,Chelsea,MID,45,0,1,0,0.5,true,sr:player:2221794
Tino Livramento,NEW,Newcastle,DEF,21,0,1,0,0.5,true,sr:player:1643746
Alex Moreno,AVL,Aston Villa,FWD,15,0,1,0,0.5,true,sr:player:294593
Oleksandr Zinchenko,ARS,Arsenal,DEF,17,0,1,0,0.5,true,sr:player:287643
Bernd Leno,FUL,Fulham,GK,1,0,1,0,0.5,true,sr:player:103335
Timothy Castagne,FUL,Fulham,DEF,21,0,1,0,0.5,true,sr:player:329417
Kostas Tsimikas,LFC,Liverpool,DEF,21,0,1,0,0.5,true,sr:player:605434
Jordan Pickford,EVE,Everton,GK,1,0,1,0,0.5,true,sr:player:138530
James Garner,EVE,Everton,MID,37,0,1,0,0.5,true,sr:player:1297412
Nathan Patterson,EVE,Everton,DEF,2,0,1,0,0.5,true,sr:player:1381883
Jarrad Branthwaite,EVE,Everton,MID,32,0,1,0,0.5,true,sr:player:1720484
Tim Iroegbunam,EVE,Everton,MID,42,0,1,0,0.5,true,sr:player:2161262
Vitaly Janelt,BRE,Brentford,MID,27,1,3,2,0.5,true,sr:player:822586
Michael Kayode,BRE,Brentford,DEF,33,0,1,0,0.5,false,sr:player:2164250
Illia Zabarnyi,BOU,Bournemouth,DEF,27,0,1,0,0.5,true,sr:player:1631296
James Hill,BOU,Bournemouth,DEF,23,0,1,0,0.5,true,sr:player:1653565
Sam Johnstone,WOL,Wolverhampton,GK,31,0,0,0,0,true,sr:player:98427
Daniel Bentley,WOL,Wolverhampton,GK,25,0,0,0,0,true,sr:player:101367
Jose Sa,WOL,Wolverhampton,GK,1,0,0,0,0,true,sr:player:252669
Tom King,WOL,Wolverhampton,GK,40,0,0,0,0,true,sr:player:603922
Santiago Bueno,WOL,Wolverhampton,DEF,4,0,0,0,0,true,sr:player:1016089
Sasa Kalajdzic,WOL,Wolverhampton,FWD,18,0,0,0,0,true,sr:player:1100395
Fabio Silva,WOL,Wolverhampton,FWD,20,0,0,0,0,true,sr:player:1302644
Jhon Arias,WOL,Wolverhampton,FWD,10,0,0,0,0,false,sr:player:1408017
Ki-Jana Hoever,WOL,Wolverhampton,DEF,26,0,0,0,0,true,sr:player:1626020
David Moller Wolfe,WOL,Wolverhampton,DEF,,0,0,0,0,false,sr:player:1724924
Yerson Mosquera,WOL,Wolverhampton,DEF,15,0,0,0,0,true,sr:player:1769162
Andre Andre,WOL,Wolverhampton,MID,7,0,0,0,0,true,sr:player:2057387
Hugo Bueno,WOL,Wolverhampton,DEF,3,0,0,0,0,true,sr:player:2121872
Tawanda Chirewa,WOL,Wolverhampton,MID,23,0,0,0,0,true,sr:player:2337541
Enso Gonzalez,WOL,Wolverhampton,FWD,30,0,0,0,0,true,sr:player:2434771
Nathan Fraser,WOL,Wolverhampton,FWD,63,0,0,0,0,true,sr:player:2491031
Pedro Lima,WOL,Wolverhampton,DEF,37,0,0,0,0,true,sr:player:2714234
Fer Lopez,WOL,Wolverhampton,FWD,28,0,0,0,0,false,sr:player:2887483
Mateus Mane,WOL,Wolverhampton,FWD,36,0,0,0,0,true,sr:player:2949071
Ashley Barnes,BUR,Burnley,FWD,35,0,0,0,0,false,sr:player:27028
Kyle Walker,BUR,Burnley,DEF,,0,0,0,0,true,sr:player:44614
Vaclav Hladky,BUR,Burnley,GK,32,0,0,0,0,false,sr:player:151518
Josh Laurent,BUR,Burnley,MID,29,0,0,0,0,false,sr:player:552036
Benson Manuel,BUR,Burnley,FWD,10,0,0,0,0,false,sr:player:552632
Jacob Bruun Larsen,BUR,Burnley,FWD,,0,0,0,0,false,sr:player:756428
Marcus Edwards,BUR,Burnley,FWD,22,0,0,0,0,false,sr:player:769109
Josh Cullen,BUR,Burnley,MID,24,0,0,0,0,false,sr:player:816106
Connor Roberts,BUR,Burnley,DEF,14,0,0,0,0,false,sr:player:869092
Hjalmar Ekdal,BUR,Burnley,DEF,18,0,0,0,0,false,sr:player:914348
Hannes Delcroix,BUR,Burnley,DEF,44,0,0,0,0,false,sr:player:936432
MIke Tresor,BUR,Burnley,FWD,31,0,0,0,0,false,sr:player:936458
Zian Flemming,BUR,Burnley,MID,19,0,0,0,0,false,sr:player:945378
Joe Worrall,BUR,Burnley,DEF,4,0,0,0,0,true,sr:player:948682
Jordan Beyer,BUR,Burnley,DEF,13,0,0,0,0,false,sr:player:1047255
Darko Churlinov,BUR,Burnley,MID,27,0,0,0,0,false,sr:player:1080062
Lyle Foster,BUR,Burnley,FWD,17,0,0,0,0,false,sr:player:1298608
Shurandy Sambo,BUR,Burnley,DEF,3,0,0,0,0,false,sr:player:1382065
Michael Obafemi,BUR,Burnley,FWD,45,0,0,0,0,false,sr:player:1392219
Hannibal Hannibal,BUR,Burnley,MID,28,0,0,0,0,true,sr:player:1643946
Maxime Esteve,BUR,Burnley,DEF,5,0,0,0,0,false,sr:player:1644602
Zeki Amdouni,BUR,Burnley,FWD,25,0,0,0,0,false,sr:player:1832252
Oliver Sonne,BUR,Burnley,DEF,2,0,0,0,0,false,sr:player:1848664
Loum Tchaouna,BUR,Burnley,FWD,,0,0,0,0,false,sr:player:1975811
Bashir Humphreys,BUR,Burnley,DEF,12,0,0,0,0,true,sr:player:1984739
Etienne Green,BUR,Burnley,GK,20,0,0,0,0,false,sr:player:2058603
Jaidon Anthony,BUR,Burnley,FWD,11,0,0,0,0,true,sr:player:2070595
Lucas Pires,BUR,Burnley,DEF,23,0,0,0,0,false,sr:player:2200574
Aaron Ramsey,BUR,Burnley,MID,21,0,0,0,0,false,sr:player:2208306
Jaydon Banel,BUR,Burnley,FWD,34,0,0,0,0,false,sr:player:2239965
Max Weiss,BUR,Burnley,GK,,0,0,0,0,false,sr:player:2242613
Oluwaseun Adewumi,BUR,Burnley,FWD,,0,0,0,0,false,sr:player:2331679
Enock Agyei,BUR,Burnley,FWD,48,0,0,0,0,false,sr:player:2355173
Luca Koleosho,BUR,Burnley,FWD,30,0,0,0,0,false,sr:player:2358299
Quilindschy Hartman,BUR,Burnley,DEF,,0,0,0,0,false,sr:player:2411801
Nathaniel Clyne,CRY,Crystal Palace,DEF,17,0,0,0,0,true,sr:player:43215
Walter Benitez,CRY,Crystal Palace,GK,,0,0,0,0,false,sr:player:249859
